employment_label_sk,t_cols2
"(01) Crop and animal production, hunting",CPA_A01
(02) Forestry and logging,CPA_A02
(03) Fishing and aquaculture,CPA_A03
(05) Mining of coal and lignite,CPA_B
(06-08) Extraction of crude petroleum and natural gas; mining of metal ores; other mining and quarrying,CPA_B
(09) Mining support service activities,CPA_B
(10) Manufacture of food products,CPA_B
(11-12) Manufacture of beverages; manufacture of tobacco products,CPA_C10-C12
(13) Manufacture of textiles,CPA_C13-C15
(14) Manufacture of wearing apparel,CPA_C13-C15
(15) Manufacture of leather and related products,CPA_C13-C15
"(16) Manufacture of products of wood, cork and straw",CPA_C16
(17) Manufacture of paper and paper products,CPA_C17
(18) Printing and reproduction of recorded media,CPA_C18
(19) Manufacture of coke and refined petroleum products,CPA_C19
(20) Manufacture of chemicals and chemical products,CPA_C20
(21) Manufacture of pharmaceutical products,CPA_C21
(22) Manufacture of rubber and plastic products,CPA_C22
(23) Manufacture of other non-metallic mineral products,CPA_C23
(24) Manufacture of basic metals,CPA_C24
"(25) Manufacture of metal products, except machinery and equipment",CPA_C25
"(26) Manufacture of computer, electronic and optical products",CPA_C26
(27) Manufacture of electrical equipment,CPA_C27
(28) Manufacture of machinery and equipment n.e.c.,CPA_C28
(29) Manufacture of motor vehicles and trailers,CPA_C29
(30) Manufacture of other transport equipment,CPA_C30
(31) Manufacture of furniture,CPA_C31_C32
(32) Other manufacturing,CPA_C31_C32
(33) Repair and installation of machinery and equipment,CPA_C33
"(35) Electricity, gas, steam and air conditioning supply",CPA_D35
"(36) Water collection, treatment and supply",CPA_E36
(37) Sewerage,CPA_E37-E39
(38) Waste collection and disposal activities; materials recovery,CPA_E37-E39
(39) Remediation and other waste management services,CPA_E37-E39
(41) Construction of buildings,CPA_F
(42) Civil engineering,CPA_F
(43) Specialised construction activities,CPA_F
"(45) Wholesale, retail trade and repair of motor vehicles",CPA_G45
(46) Wholesale trade except of motor vehicles,CPA_G46
(47) Retail trade except of motor vehicles,CPA_G47
(49) Land transport and transport via pipelines,CPA_H49
(50) Water transport,CPA_H50
(51) Air transport,CPA_H51
(52) Warehousing and support activities for transportation,CPA_H52
(53) Postal and courier activities,CPA_H53
(55) Accommodation,CPA_I
(56) Food and beverage service activities,CPA_I
(58) Publishing activities,CPA_J58
"(59) Motion picture, video and television programme production",CPA_J59_J60
(60) Programming and broadcasting activities,CPA_J59_J60
(61) Telecommunications,CPA_J61
"(62) Computer programming, consultancy",CPA_J62_J63
(63) Information service activities,CPA_J62_J63
"(64) Financial service activities, except insurance and pension funding",CPA_K64
"(65) Insurance, reinsurance and pension funding",CPA_K65
(66) Activities auxiliary to financial services and insurance,CPA_K66
(68) Real estate activities,CPA_L68B
(69) Legal and accounting activities,CPA_M69_M70
(70) Activities of head offices; management consultancy,CPA_M69_M70
(71) Architectural and engineering activities,CPA_M71
(72) Scientific research and development,CPA_M72
(73) Advertising and market research,CPA_M73
"(74) Other professional, scientific and technical activities",CPA_M74_M75
(75) Veterinary activities,CPA_M74_M75
(77) Rental and leasing activities,CPA_N77
(78) Employment activities,CPA_N78
"(79) Travel agency, tour operator reservation service",CPA_N79
(80) Security and investigation activities,CPA_N80-N82
(81) Services to buildings and landscape activities,CPA_N80-N82
"(82) Office administrative, office support",CPA_N80-N82
(84) Public administration and defence; compulsory social security,CPA_O84
(85) Education,CPA_P85
(86) Human health activities,CPA_Q86
(87) Residential care activities,CPA_Q87_Q88
(88) Social work without accommodation,CPA_Q87_Q88
"(90) Creative, arts and entertainment activities",CPA_R90-R92
"(91) Libraries, museums and other cultural activities",CPA_R90-R92
(92) Gambling and betting activities,CPA_R90-R92
"(93) Sports, amusement and recreation activities",CPA_R93
(94) Activities of membership organisations,CPA_S94
(95) Repair of computers and household goods,CPA_S95
(96) Other personal service activities,CPA_S96
(97) Activities of households as employers of domestic personnel,
